Date Conducted,11/06/2014,,
Latin name,Common name,Surrounding_Habitat,Roof_Habitat
Plants,,Estimated abundance (logarithmic scale),
Acanthus spp.,Acanthus spp.,10,
Aloe spp.,Aloe spp.,10,
Anchusa spp.,Anchusa spp.,100,
Banksia spp.,Banksia spp.,10,
Campanula spp.,Bellflower spp.,100,
Sedum acre,Biting Stonecrop,,1
Medicago lupulina,Black Medick,10,
Salvia microphylla,Blackcurrant sage,1,
Sisyrinchium spp.,Blue-eyed Grass spp.,100,
Rubus fruticosus,Bramble,100,
Brassica spp.,Cabbage spp.,1000,
Eschscholzia californicus,Californian Poppy,100,
Euphorbia lathyris,Caper Spurge,,1
Dianthus spp.,Carnation spp.,1,
Centaurea spp.,Centaurea spp.,1,
Chamaemelum nobile,Chamomile,10,
Cichorium intybus,Chicory,1,
Luma apiculata,Chilean myrtle,1,
Rosa chinensis,China rose cultivar,1,
Allium schoenoprasum,Chives,,1
Lotus corniculatus,Common Bird's-foot-trefoil,1,
Veronica persica,Common Field Speedwell,1,
Scrophularia nodosa,Common Figwort,10,
Centaurea nigra,Common knapweed,100,
Papaver rhoeas,Common Poppy,1,
Linaria vulgaris,Common Toadflax,1,
Ranunculus arvensis,Corn Buttercup,10,
Chrysanthemum segetum,Corn Marigold,100,
Cosmos spp.,Cosmos spp.,1,
Santolina chamaecyparissus,Cotton Lavender,10,
Ranunculus repens,Creeping Buttercup,1,
Bellis perennis,Daisy,10,
Brachyglottis greyi,Daisy Bush,100,
Tanacetum parthenium,Feverfew,10,
Digitalis pururea,Foxglove,100,
Geranium endressii,French Crane's-bill,10,
Fuchsia magellanica,Fuchsia,100,
Alliaria petiolata,Garlic Mustard,10,
Geranium cult.,Geranium cultivar,100,
Geranium cult.,Geranium cultivar,1,
Echium pininana,Giant Viper's-bugloss,1000,
Rosa cult.,Graham Thomas Rose cultivar,10,
Muscari neglectum (M. atlanticum),Grape Hyacinth (White),,1
Chelidonium majus,Greater Celandine,10,
Typha latifolia,Greater Reedmace,1,
Pentaglottis sempervirens,Green Alkanet,100,
Hieracium spp.,Hawkweed spp.,1,1
Calystegia sepium,Hedge Bindweed,10,
Geranium pyrenaicum,Hedgerow Crane's-bill,1000,
Conium maculatum,Hemlock,100,
Geranium robertianum,Herb-Robert,10,
Heruchera spp.,Heuchera,10,
Rosa brunonii,Himalayan Rose,1,
Rosa rugosa,Japanese Rose,1,
Stachys byzantina,Lamb's-ear,100,
Lavandula spp.,Lavandula spp.,100,
Trifolium campestre,Lesser Trefoil,10,
Liliaceae spp.,Lily spp.,10,
Lychnis spp.,Lychnis spp.,10,
Lathyrus palustris,Marsh Pea,100,
Valeriana dioica,Marsh Valerian,100,
Ranunculus acris,Meadow Buttercup,10,
Philadelphus spp.,Mock Orange,100,
Silene acaulis,Moss Campion,10,
Malva moschata,Musk-mallow,10,
Tropaeolum spp.,Nastertium,100,
Lapsana communis,Nipplewort,10,
Leucanthemum vulgare (Chrysanthemum leucanthemum),Oxeye Daisy,100,
Pelargonium spp.,Pelargonium spp.,10,
Geranium versicolor,Pencilled Crane's-bill,10,
Hypericum perforatum,Perforated St John's-wort,100,
Punica granatum,Pomegranite,1,
Lithospermum purpureocaeruleum,Purple Groomwell,100,
Verbena bonariensis,Purple top,100,
Lamium purpureum,Red Dead-nettle,100,
Centranthus ruber,Red Valerian,,1
Centranthus ruber,Red Valerian (White),1000,
Sedum rupestre,Reflexed Stonecrop,,1
Plantego lanceolata,Ribwort Plantain,10,
Rosa moyesii geranium,"Rosa ""Geranium"" cultivar",1,
Luchnis coronaria,Rose Campion,100,
Silene uniflora,Sea Campion,10,
Medicago sativa,Spotted Medick,10,
Centaurea triumfettii,Squarrose Knapweed,1,
Hypericum spp.,St-John's wort spp.,100,
Linaria spp.,Toadflax cult.,1,
Nicotiana spp.,Tobacco plant,10,
Lavatera arborea,Tree-mallow,10,
Myosotis laxa (M. caespitosa),Tufted Forget-me-not,10,
Vicia cracca,Tufted Vetch,10,
Phlomis russeliana,Turkish Sage,1000,
Verbascum spp.,Verbascum spp.,10,
Echium vulgare,Viper's-bugloss,10,
Rosa spp.,White wings,10,
Daucus carota,Wild Carrot,1,
Geum urbanum,Wood avens/Herb Bennett,10,
Geranium sylvaticum,Wood Crane's-bill,100,
Cirsium eriophorum,Woolly thistle,1,
Geranium himalayense,Himalayan Crane's-Bill,10,
Dianthus barbatus,Sweet William,100,
Callianthe spp.,Callianthe spp.,100,
Penstemon spp.,Penstemon spp.,10,
Delphinium spp.,Delphinium spp.,10,
Salvia spp.,Salvia spp.,10,
,,,
Trees,,,
Acca sellowiana,Pineapple Guava,1,
Aesculus indica,Indian Horse Chestnut,1,
Buddleja spp.,Buddleia spp.,1,
Rosa glauca,Rose tree,1,
