,Date Conducted,27/05/2014,27/05/2014,06/06/2014,11/06/2014,11/06/2014,20/06/2014,01/07/2014,28/07/2014,21/08/2014,27/08/2014,28/08/2014,05/09/2014,15/09/2014,16/09/2014
Latin name,Common name,SE1_2RT_7,SE1_2RT_10,SW1E_5BN,SE11_6DN,SE11_6DN_Roof,SE4_1SA,PWC_Embankment,SE22_0SD,IG11_0FJ,SW15_4JY,W5_5EQ,SE10_9EY,N2_0BX,SW6_6DU
Plants,,,,,,,,,,,,,,,
Acanthus spp.,Acanthus spp.,,,,10,,,,,,,,,,
Aloe spp.,Aloe spp.,,,,10,,,,,,,,,,
Anchusa spp.,Anchusa spp.,,,,100,,,,,,,,,,
Banksia spp.,Banksia spp.,,,,10,,,,,,,,,,
Campanula spp.,Bellflower spp.,,,,100,,,,,,,,,,
Sedum acre,Biting Stonecrop,,,,,1,1000,,1,,,,,,
Medicago lupulina,Black Medick,,,,10,,,,,,,,,,
Salvia microphylla,Blackcurrant sage,,,,1,,,,,,,,,,
Silene vulgaris,Bladder Campion,,,100,,,,,,10,,,,10,
Perovskia atriplicifolia,Blue Spire,,,,100,,,,,,,,,,
Veronica anagallis-aquatica,Blue Water-speedwell,,,,100,,,,,,,,,,
Sisyrinchium spp.,Blue-eyed Grass spp.,,,,1000,,,,,,,,,,
Rubus fruticosus,Bramble,,,,100,,,,,,,,,,
Picris echioides,Bristly Oxtongue,,,,,,1,,,100,,,,,
Epilobium montanum,Broad-leaved Willowherb,,,,1,,10,,1,10,,,,,
Brassica spp.,Cabbage spp.,,,,1,,,,,,,,,,
Eschscholzia californicus,Californian Poppy,,,,10,,,,,,,,,,
Callianthe spp.,Callianthe spp.,,,,1,,,,,,,,,,
Conyza canadensis,Canadian Fleabane,,,,,,,,100,100,,,,,
Euphorbia lathyris,Caper Spurge,,,,1,1,,,,,,,,,
Dianthus spp.,Carnation spp.,,,,1,,,,,,,,,,
Centaurea spp.,Centaurea spp.,,,,,,,,,,,,,,
Chamaemelum nobile,Chamomile,10,100,,1,,,,,10,,,,,
Cichorium intybus,Chicory,,,,1,,,,,,,,,,
Luma apiculata,Chilean myrtle,,,,10,,,,,,,,,,
Rosa chinensis,China rose cultivar,,,,100,,,,,,,,,,
Allium schoenoprasum,Chives,,,,,1,,,1,,,,,,
Lotus corniculatus,Common Bird's-foot-trefoil,,,100,1,,,,,10,,,,1,
Veronica persica,Common Field Speedwell,,,,1,,,,,,,,,,
Scrophularia nodosa,Common Figwort,,,,10,,,,,,,,,,
Centaurea nigra,Common Knapweed,,,100,100,,,,,,,,1,,
Cerastium fontanum,Common Mouse-ear,,,10,,,,,,,1,,,,
Papaver rhoeas,Common Poppy,1,10,10,,,,,,,,,,,
Linaria vulgaris,Common Toadflax,,,,,,,,,10,,,,,
Ranunculus arvensis,Corn Buttercup,,,,1,,,,,,,,,,
Chrysanthemum segetum,Corn Marigold,,,1,10,,,,,,,,1,,
Petroselinum segetum,Corn Parsley,,,10,1,,,,,,,,,,
Agrostemma githago,Corncockle,,,100,10,,,,,,,,,,
Centaurea cyanus,Cornflower,1,1,,100,,,,,,,,1,,1
Cosmos spp.,Cosmos spp.,,,,,,,,,,,,,,
Santolina chamaecyparissus,Cotton Lavender,,,,10,,,100,,,,,,,
Ranunculus repens,Creeping Buttercup,,,,,,,,,,,,,,
Bellis perennis,Daisy,,,,100,,,,1,,,,,,
Brachyglottis greyi,Daisy Bush,,,,10,,,,,,,,,,
Taraxacum,Dandelion,,,,,,,,1,,,,,,
Delphinium spp.,Delphinium spp.,,,,100,,,,,,,,,,
Malva neglecta,Dwarf Mallow,,,1,10,,,,,,,,,,
Lavandula angustifolia,English Lavender,,,,100,,,100,,,,,,,
Sedum anglicum,English Stonecrop,,,,1,,1000,,1,,,,,,
Tanacetum parthenium,Feverfew,,,,1000,,,,,,,,,,
Myosotis arvensis,Field Forget-me-not,,,,,,,,,,,,,,
Digitalis pururea,Foxglove,,,,10,,,,,,,,,,
Geranium endressii,French Crane's-bill,,,,,,,,,,,,,,
Fuchsia magellanica,Fuchsia,,,,10,,,,,,,,,,
Alliaria petiolata,Garlic Mustard,,,,1,,,,,,,,,,
Geranium cult.,Geranium cultivar,,,,100,,,,,,,,,,
Geranium cult.,Geranium cultivar,,,,,,,,,,,,,,
Echium pininana,Giant Viper's-bugloss,,,,1,,,,,,,,,,
Echinops sphaerocephalus,Glandular globe thistle,,,1,10,,,,,,,,,,
Rosa cult.,Graham Thomas Rose cultivar,,,,1000,,,,,,,,,,
Muscari neglectum (M. atlanticum),Grape Hyacinth (White),,,,,1,,,,,,,,,
Chelidonium majus,Greater Celandine,,,,,,,,,,,,,,
Typha latifolia,Greater Reedmace,,,,,,,,,,,,,,
Pentaglottis sempervirens,Green Alkanet,,,,100,,,,,,,,,,
Vicia hirsuta,Hairy Tare,,,,10,,,,,,,,,,
Hieracium spp.,Hawkweed spp.,,,,10,1,,,,,,,,,
Calystegia sepium,Hedge Bindweed,,,,1,,,,,,,,,,
Geranium pyrenaicum,Hedgerow Crane's-bill,,,,1,,,,,,,,,,
Conium maculatum,Hemlock,,,,100,,,,,,,,,,
Geranium robertianum,Herb-Robert,,,,100,,,,,1,,,,,
Heruchera spp.,Heuchera,,,,10,,,,,,,,,,
Geranium himalayense,Himalayan Crane's-Bill,,,,10,,,,,,,,,,
Rosa brunonii,Himalayan Rose,,,,10,,,,,,,,,,
Senecio erucifolius,Hoary Ragwort,,,,,,,,10,,,,,,
Rosa rugosa,Japanese Rose,,,,100,,,,,,,,,,
